callNo,title,author
CB 351 M293 1983,Atlas of medieval Europe,Donald Matthew
HQ 1143 P68 1975,Medieval women,Eileen Power
PC 14 V48 1965,Medieval miscellany,Frederick Whitehead
QA 76.73 S67C435 2004,Joe Celko's Trees and hierarchies in SQL for smarties,Joe Celko
QA 76.73 S67C46 1997,Joe Celko's SQL puzzles & answers,Joe Celko
QA 76.76 A65P76 2011,Programming Android,Zigurd R Mednieks
QA 76.9 D26H355 2008,Information modeling and relational databases,T A Halpin
QA 76.9 D26H39 1996,Data model patterns : conventions of thought,David Hay
QA 76.9 D35C45 1999,Joe Celko's data & databases : concepts in practice,Joe Celko
R 141 E45 2006,Medieval medicine and the plague,Lynne Elliott
R 487 T35 1967,Medicine in medieval England.,Charles H Talbot
